epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,23797.6,1.24836,0.59704,1.112,0.72028,0.73001,0.69374,0.42821,1.26001,0.81818,1.15216,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,24389.4,1.2418,0.59676,1.10666,0.71939,0.73812,0.69835,0.42986,1.26132,0.80451,1.15269,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,24980.3,1.2458,0.59947,1.11333,0.73271,0.73314,0.68196,0.41809,1.27086,0.83121,1.1536,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,25572.7,1.24438,0.59249,1.11382,0.72716,0.74749,0.71815,0.44503,1.2552,0.77019,1.15341,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,26165.4,1.23429,0.58088,1.10455,0.73187,0.73276,0.69968,0.43287,1.261,0.76241,1.15326,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,26758.2,1.23699,0.58301,1.10214,0.73637,0.74258,0.71057,0.44012,1.26244,0.78169,1.15588,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,27350.1,1.23895,0.58375,1.10503,0.71091,0.74285,0.70594,0.43559,1.25598,0.78727,1.15396,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,27941.9,1.22424,0.57012,1.10025,0.73208,0.74834,0.71462,0.44207,1.25909,0.75703,1.15297,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,28534.5,1.20666,0.57245,1.09666,0.73899,0.72825,0.69636,0.43413,1.24491,0.7856,1.14926,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,29126.6,1.21191,0.56906,1.10215,0.73367,0.73772,0.70479,0.4389,1.24683,0.79849,1.15343,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,29718.5,1.20964,0.56099,1.09588,0.73248,0.74429,0.70411,0.43758,1.25182,0.79488,1.15306,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,30310.3,1.17973,0.54978,1.07429,0.72618,0.74432,0.69225,0.42845,1.25414,0.81092,1.15368,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,30903,1.17377,0.55396,1.0808,0.73963,0.73337,0.69876,0.43526,1.25191,0.77108,1.15334,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,31495.4,1.18607,0.5557,1.09161,0.73181,0.74126,0.69749,0.43346,1.25491,0.79839,1.15894,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,32088.3,1.18382,0.55613,1.09415,0.73243,0.73137,0.70052,0.43729,1.2516,0.80132,1.15996,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,32680,1.16181,0.53852,1.07603,0.73842,0.73643,0.70744,0.44131,1.25473,0.75482,1.16299,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,33271.6,1.15416,0.53743,1.07394,0.73305,0.74466,0.71183,0.44326,1.24954,0.74739,1.1608,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,33863.9,1.14913,0.5315,1.06629,0.73228,0.73166,0.69685,0.43561,1.252,0.78366,1.16223,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,34455.4,1.14065,0.52127,1.06847,0.72914,0.73139,0.70657,0.44132,1.25408,0.75645,1.16288,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,35047.2,1.14693,0.52577,1.07517,0.7372,0.73191,0.7048,0.43982,1.25115,0.77354,1.16003,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,35638.9,1.1396,0.52169,1.06944,0.73296,0.74427,0.70443,0.4397,1.24759,0.77573,1.16003,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,36230.9,1.13246,0.51822,1.06604,0.73371,0.73605,0.70101,0.44027,1.25148,0.76526,1.16349,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,36823.7,1.10721,0.5101,1.05068,0.73288,0.74035,0.7067,0.44191,1.24963,0.76138,1.16449,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,37416,1.11462,0.51131,1.04649,0.73793,0.73592,0.71069,0.44527,1.24989,0.74775,1.16629,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,38009.6,1.10621,0.5065,1.042,0.74144,0.73655,0.7146,0.44848,1.24715,0.74858,1.16637,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,38602.9,1.10391,0.50981,1.05212,0.74898,0.7387,0.71964,0.45114,1.25137,0.74138,1.16956,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,39196.5,1.08468,0.49098,1.03538,0.73725,0.74279,0.71357,0.44815,1.25346,0.75004,1.17038,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,39789.1,1.08615,0.49649,1.04268,0.73382,0.74739,0.71117,0.44582,1.25745,0.75595,1.17547,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,40381.5,1.07664,0.4937,1.03767,0.74143,0.74663,0.71335,0.44706,1.2541,0.76751,1.17427,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,40974.4,1.07194,0.4901,1.03214,0.74781,0.7403,0.71781,0.44974,1.25807,0.76117,1.17825,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,41567.2,1.06386,0.48384,1.03472,0.75366,0.73834,0.72193,0.45092,1.26218,0.7462,1.18158,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,42160.4,1.06373,0.48609,1.03332,0.74539,0.74015,0.71658,0.44899,1.261,0.74837,1.18402,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,42753.3,1.04735,0.47904,1.02848,0.74049,0.74873,0.71942,0.44997,1.259,0.75181,1.18363,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
